"Nom_com";"id_insee";"annee";"RP";"RS";"LV";"Parc_total";"RP_coll";"RS_coll";"LV_coll";"Parc_tot_coll";"RP_ind";"RS_ind";"LV_ind";"Parc_tot_ind";"RP_1_piece";"RS_1_piece";"LV_1_piece";"Parc_tot_1_piece";"RP_2_pieces";"RS_2_pieces";"LV_2_pieces";"Parc_tot2_pieces";"RP_3_pieces";"RS_3_pieces";"LV_3_pieces";"Parc_tot3_pieces";"RP_4_pieces";"RS_4_pieces";"LV_4_pieces";"Parc_tot4_pieces";"RP_5_pieces";"RS_5_pieces";"LV_5_pieces";"Parc_tot_5_pieces";"RP_6et+_pieces";"RS_6et+_pieces";"LV_6et+_pieces";"Parc_tot_6et+_pieces";"RP_Nb_pieces_ecart_type";"RS_Nb_pieces_ecart_type";"LV_Nb_pieces_ecart_type";"Parc_tot_Nb_pieces_ecart_type";"RP_Nb_pieces_moyenne";"RS_Nb_pieces_moyenne";"LV_Nb_pieces_moyenne";"Parc_tot_Nb_pieces_moyenne";"RP_Nb_pieces_mediane";"RS_Nb_pieces_mediane";"LV_Nb_pieces_mediane";"Parc_tot_Nb_pieces_mediane";"RP_<9m2";"RS<9m2";"LV<9m2";"Parc_tot<9m2";"RP_10-20m2";"RS_10-20m2";"LV_10-20m2";"Parc_tot_10-20m2";"RP_20-35m2";"RS_20-35m2";"LV_20-35m2";"Parc_tot_20-35m2";"RP_35-55m2";"RS_35-55m2";"LV_35-55m2";"Parc_tot_35-55m2";"RP_55-75m2";"RS_55-75m2";"LV_55-75m2";"Parc_tot_55-75m2";"RP_75-95m2";"RS_75-95m2";"LV_75-95m2";"Parc_tot_75-95m2";"RP>95m2";"RS>95m2";"LV>95m2";"Parc_tot>95m2";"RP_Surf._hab._ecart_type";"RS_Surf._hab._ecart_type";"LV_Surf._hab._ecart_type";"Parc_tot_Surf._hab._ecart_type";"RP_Surf._hab._moyenne";"RS_Surf._hab._moyenne";"LV_Surf._hab._moyenne";"Parc_tot_Surf._hab._moyenne";"RP_Surf._hab._mediane";"RS_Surf._hab._mediane";"LV_Surf._hab._mediane";"Parc_tot_Surf._hab._mediane";"RP<1915";"RS<1915";"LV<1915";"Parc_tot<1915";"RP_1915-1948";"RS_1915-1948";"LV_1915-1948";"Parc_tot_1915-1948";"RP_1949-1967";"RS_1949-1967";"LV_1949-1967";"Parc_tot_1949-1967";"RP_1968-1974";"RS_1968-1974";"LV_1968-1974";"Parc_tot_1968-1974";"RP_1975-1981";"RS_1975-1981";"LV_1975-1981";"Parc_tot_1975-1981";"RP_1982-1989";"RS_1982-1989";"LV_1982-1989";"Parc_tot_1982-1989";"RP_1990-1998";"RS_1990-1998";"LV_1990-1998";"Parc_tot_1990-1998";"RP>1999";"RS>1999";"LV>1999";"Parc_tot>1999";"RP_Date_construction_ecart_type";"RS_Date_construction_ecart_type";"LV_Date_construction_ecart_type";"Parc_tot_Date_construction_ecart_type";"RP_Date_construction_mediane";"RS_Date_construction_mediane";"LV_Date_construction_mediane";"Parc_tot_Date_construction_mediane";"RP_ss_conf";"RS_ss_conf";"LV_ss_conf";"Parc_tot_ss_conf";"RP_conf_partiel";"RS_conf_partiel";"LV_conf_partiel";"Parc_tot_conf_partiel";"RP_tout_conf";"RS_tout_conf";"LV_tout_conf";"Parc_tot_tout_conf";"RP_CC_1-3";"RS_CC_1-3";"LV_CC_1-3";"Parc_tot_CC_1-3";"RP_CC_4";"RS_CC_4";"LV_CC_4";"Parc_tot_CC_4";"RP_CC_5";"RS_CC_5";"LV_CC_5";"Parc_tot_CC_5";"RP_CC_6";"RS_CC_6";"LV_CC_6";"Parc_tot_CC_6";"RP_CC_7-8";"RS_CC_7-8";"LV_CC_7-8";"Parc_tot_CC_7-8"
"Afa";"2A001";2019;"1172";"103";"160";1435;"247";"36";"75";"358";"925";"67";"85";"1077";"45";"s";"s";"79";"91";"20";"17";"128";"232";"26";"47";"305";"484";"21";"50";"555";"225";"s";"s";"256";"95";"s";"s";"112";"1";"2";"1";1;"4";"3";"3";"4";"4";"3";"3";4;"0";"0";"0";"0";"s";"s";"s";"s";"s";"s";"s";"s";"87";"15";"23";"125";"134";"19";"24";"177";"217";"s";"s";"276";"695";"40";"56";"791";"40";"48";"41";41;"104";"88";"86";101;"101";"82";"86";100;"66";"s";"s";"98";"s";"s";"s";"50";"s";"s";"s";"30";"73";"s";"s";"97";"124";"s";"s";"149";"184";"12";"14";"210";"172";"s";"s";"193";"487";"32";"79";"598";"31";"45";"39";33;"1993";"1980";"1997";1992;"38";"s";"s";"65";"687";"51";"81";"819";"447";"s";"s";"551";"0";"0";"0";"0";"166";"s";"s";"186";"886";"65";"106";"1057";"90";"s";"s";"s";"30";"s";"s";"s"
"Ajaccio";"2A004";2019;"26872";"4165";"4271";35308;"24527";"3856";"4031";"32414";"2345";"309";"240";"2894";"2402";"828";"708";"3938";"4841";"1035";"1035";"6911";"8812";"1206";"1288";"11306";"8509";"826";"969";"10304";"1826";"189";"226";"2241";"482";"81";"45";"608";"1";"2";"1";1;"3";"3";"3";"3";"3";"3";"3";3;"s";"s";"0";"s";"s";"s";"s";"s";"1666";"586";"617";"2869";"4498";"1087";"963";"6548";"7480";"927";"1126";"9533";"7664";"759";"919";"9342";"5092";"s";"s";"6392";"32";"36";"32";32;"75";"67";"66";73;"73";"62";"65";71;"2037";"627";"515";"3179";"1552";"331";"376";"2259";"6355";"755";"977";"8087";"4093";"643";"582";"5318";"3486";"557";"519";"4562";"1788";"179";"151";"2118";"2097";"340";"262";"2699";"4280";"657";"716";"5653";"42";"58";"54";46;"1972";"1972";"1969";1972;"463";"140";"141";"744";"8263";"1405";"1462";"11130";"18146";"2620";"2668";"23434";"s";"s";"s";"s";"3782";"976";"547";"5305";"15201";"1749";"2181";"19131";"6341";"858";"1105";"8304";"s";"s";"s";"s"
"Alata";"2A006";2019;"1276";"134";"172";1582;"198";"38";"62";"298";"1078";"96";"110";"1284";"43";"s";"s";"79";"112";"20";"30";"162";"225";"30";"46";"301";"545";"33";"46";"624";"242";"23";"23";"288";"109";"s";"s";"128";"1";"2";"1";2;"4";"4";"3";"4";"4";"3";"3";4;"0";"0";"0";"0";"s";"s";"s";"16";"s";"s";"s";"73";"84";"21";"37";"142";"103";"20";"22";"145";"240";"s";"s";"286";"793";"54";"73";"920";"40";"74";"48";45;"105";"92";"89";102;"103";"83";"81";100;"58";"33";"26";"117";"s";"s";"s";"20";"s";"s";"s";"45";"60";"s";"s";"81";"198";"s";"s";"231";"290";"11";"26";"327";"152";"s";"s";"173";"469";"48";"71";"588";"33";"65";"54";40;"1989";"1982";"1987";1988;"33";"s";"s";"56";"804";"77";"95";"976";"439";"s";"s";"550";"s";"s";"s";"s";"143";"s";"s";"163";"1002";"76";"122";"1200";"99";"s";"s";"s";"s";"s";"s";"s"
"Albitreccia";"2A008";2019;"675";"598";"241";1514;"268";"374";"151";"793";"407";"224";"90";"721";"57";"123";"43";"223";"132";"175";"50";"357";"170";"140";"83";"393";"169";"75";"40";"284";"92";"s";"s";"161";"55";"s";"s";"96";"1";"1";"1";2;"3";"3";"3";"3";"3";"3";"3";3;"0";"0";"0";"0";"s";"s";"s";"59";"s";"s";"s";"296";"130";"145";"68";"343";"84";"57";"34";"175";"s";"40";"s";"132";"292";"149";"68";"509";"58";"51";"47";55;"93";"66";"69";79;"84";"45";"53";61;"s";"45";"s";"120";"s";"s";"s";"12";"s";"s";"s";"15";"58";"138";"23";"219";"58";"54";"22";"134";"71";"78";"23";"172";"80";"s";"s";"145";"350";"221";"124";"695";"45";"48";"51";47;"2000";"1983";"2001";1994;"19";"22";"20";"61";"325";"282";"91";"698";"331";"294";"130";"755";"0";"0";"0";"0";"s";"s";"s";"173";"415";"262";"134";"811";"145";"262";"62";"469";"s";"s";"s";"61"
"Altagène";"2A011";2019;"s";"34";"s";66;"s";"s";"s";"21";"s";"s";"s";"45";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"17";"s";"s";"s";"16";"s";"s";"0";"s";"s";"s";"0";"s";"s";"1";"s";1;"s";"3";"s";"3";"s";"3";"s";3;"0";"0";"0";"0";"0";"s";"s";"s";"s";"s";"0";"s";"s";"s";"s";"s";"s";"s";"s";"18";"s";"0";"0";"s";"s";"s";"s";"19";"s";"32";"s";37;"s";"63";"s";73;"s";"53";"s";63;"s";"20";"s";"39";"s";"s";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"s";"s";"0";"0";"s";"s";"s";"s";"s";"s";"s";"0";"s";"s";"93";"s";135;"s";"1835";"s";1860;"s";"s";"s";"s";"s";"s";"s";"47";"s";"s";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"s";"s";"s";"s";"s";"38";"s";"s";"s";"s"
"Ambiegna";"2A014";2019;"24";"s";"s";38;"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"0";"s";"s";"0";"0";"s";"s";"0";"0";"s";"2";"s";"s";1;"3";"s";"s";"s";"4";"s";"s";3;"0";"0";"0";"0";"0";"0";"s";"s";"s";"s";"0";"s";"s";"s";"s";"12";"s";"s";"0";"s";"s";"s";"0";"s";"s";"s";"0";"s";"30";"s";"s";30;"70";"s";"s";65;"72";"s";"s";69;"s";"s";"s";"25";"s";"s";"0";"s";"0";"s";"0";"s";"s";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"s";"0";"0";"0";"0";"s";"s";"0";"s";"93";"s";"s";87;"1860";"s";"s";1865;"0";"s";"s";"s";"s";"s";"s";"22";"s";"s";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"s";"s";"s";"s";"27";"s";"s";"s";"s"
"Appietto";"2A017";2019;"669";"272";"144";1085;"123";"58";"46";"227";"546";"214";"98";"858";"34";"61";"25";"120";"69";"41";"41";"151";"135";"81";"33";"249";"243";"60";"21";"324";"133";"s";"s";"169";"55";"s";"s";"72";"1";"2";"2";2;"4";"3";"3";"4";"4";"3";"3";4;"0";"0";"0";"0";"s";"s";"s";"16";"s";"76";"s";"139";"49";"32";"29";"110";"79";"65";"28";"172";"120";"s";"s";"163";"380";"s";"s";"485";"44";"38";"47";46;"101";"69";"72";89;"100";"63";"60";89;"57";"44";"30";"131";"s";"s";"s";"s";"s";"s";"s";"s";"s";"50";"s";"117";"110";"s";"s";"137";"98";"47";"16";"161";"90";"60";"21";"171";"242";"42";"44";"328";"49";"60";"65";55;"1989";"1983";"1984";1987;"36";"s";"s";"79";"383";"213";"83";"679";"250";"s";"s";"327";"s";"0";"0";"s";"56";"s";"s";"s";"500";"120";"80";"700";"69";"115";"33";"217";"s";"s";"s";"100"
"Arbellara";"2A018";2019;"70";"60";"20";150;"s";"26";"s";"60";"s";"34";"s";"90";"s";"s";"s";"15";"s";"11";"s";"25";"34";"s";"s";"56";"18";"s";"s";"32";"s";"s";"0";"s";"s";"s";"s";"s";"1";"2";"2";1;"3";"4";"3";"3";"3";"3";"3";3;"0";"0";"0";"0";"s";"0";"0";"s";"s";"s";"s";"s";"15";"s";"s";"27";"s";"16";"s";"32";"18";"s";"s";"34";"22";"s";"s";"43";"35";"39";"34";37;"80";"81";"62";78;"77";"75";"58";75;"s";"36";"s";"75";"s";"s";"0";"s";"s";"s";"0";"s";"s";"s";"s";"s";"s";"s";"0";"s";"s";"s";"0";"s";"s";"s";"s";"12";"s";"s";"s";"30";"120";"126";"135";127;"1980";"1890";"1850";1906;"s";"s";"s";"26";"45";"s";"s";"100";"s";"s";"0";"24";"0";"0";"0";"0";"s";"s";"0";"s";"39";"s";"s";"83";"20";"s";"s";"40";"s";"s";"s";"s"
"Arbori";"2A019";2019;"33";"44";"s";102;"s";"19";"s";"35";"s";"25";"s";"67";"s";"s";"s";"s";"s";"s";"s";"24";"s";"13";"s";"26";"s";"s";"s";"18";"s";"s";"s";"14";"s";"s";"s";"s";"1";"2";"2";2;"4";"3";"4";"3";"4";"3";"3";3;"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"s";"16";"s";"s";"s";"25";"s";"13";"s";"24";"s";"s";"s";"21";"s";"s";"s";"16";"29";"42";"39";37;"70";"67";"67";68;"70";"60";"52";60;"s";"s";"s";"82";"s";"s";"0";"s";"s";"s";"0";"s";"s";"s";"0";"s";"s";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"s";"105";"90";"53";91;"1866";"1800";"1839";1840;"s";"s";"s";"15";"s";"26";"s";"52";"14";"s";"s";"35";"0";"0";"0";"0";"s";"0";"0";"s";"s";"s";"s";"s";"s";"33";"s";"71";"s";"s";"s";"s"
"Argiusta-Moriccio";"2A021";2019;"52";"116";"13";181;"s";"68";"s";"105";"s";"48";"s";"76";"s";"s";"s";"32";"s";"30";"s";"41";"s";"34";"s";"59";"s";"20";"s";"33";"s";"s";"s";"s";"s";"s";"0";"s";"1";"1";"1";1;"3";"3";"3";"3";"3";"3";"3";3;"0";"s";"0";"s";"s";"s";"s";"s";"s";"s";"s";"29";"s";"26";"s";"45";"s";"22";"s";"34";"s";"s";"s";"30";"s";"17";"s";"29";"31";"33";"24";32;"65";"58";"51";60;"67";"55";"50";60;"s";"70";"s";"107";"s";"s";"0";"19";"s";"s";"0";"14";"s";"s";"s";"s";"s";"s";"0";"s";"s";"s";"0";"s";"s";"s";"s";"s";"s";"s";"0";"s";"77";"67";"56";70;"1920";"1880";"1860";1885;"s";"s";"s";"49";"s";"73";"s";"120";"s";"s";"0";"12";"0";"0";"0";"0";"s";"s";"0";"s";"s";"s";"s";"s";"s";"48";"s";"70";"s";"37";"s";"57"
