"id_insee";"Commune";"nb_logmt";"jr_dispo.LTM";"jr_resa.LTM";"jr_block.LTM";"nb_resa.LTM";"rev.LTM_tot";"jr_r_lit_max";"nb_pieces_moy";"nb_pers_moy";"rev.LTM_moy_lgt";"rev.LTM_moy_nuit";"tx_occ";"jr_loc_moy"
"2A001";"Afa";"127";"7272";"7913";"18284";"2073";"1191592";"37051";"2,72";"4,28";"9382,6";"150,6";"0,52";"3,82"
"2A004";"Ajaccio";"2334";"122549";"167875";"310123";"43761";"21260704";"621192";"2,43";"3,84";"9109,1";"126,6";"0,58";"3,84"
"2A006";"Alata";"158";"8412";"11789";"21189";"2614";"1690864";"52936";"2,82";"4,66";"10701,7";"143,4";"0,58";"4,51"
"2A008";"Albitreccia";"330";"17727";"22019";"45343";"4968";"4630378";"115544";"3,10";"5,32";"14031,4";"210,3";"0,55";"4,43"
"2A011";"Altagène";"5";"361";"262";"904";"118";"21182";"644";"2,20";"3,20";"4236,4";"80,8";"0,42";"2,22"
"2A014";"Ambiegna";"3";"173";"147";"343";"20";"12321";"524";"2,33";"3,33";"4107,0";"83,8";"0,46";"7,35"
"2A017";"Appietto";"146";"9049";"10070";"18079";"2254";"1366656";"48999";"2,99";"5,00";"9360,7";"135,7";"0,53";"4,47"
"2A018";"Arbellara";"13";"709";"1337";"1464";"318";"152144";"6767";"3,15";"5,31";"11703,4";"113,8";"0,65";"4,20"
"2A019";"Arbori";"5";"189";"383";"838";"81";"51309";"2470";"3,60";"6,00";"10261,8";"134,0";"0,67";"4,73"
"2A021";"Argiusta-Moriccio";"3";"240";"260";"517";"56";"19107";"1730";"3,00";"6,00";"6369,0";"73,5";"0,52";"4,64"
"2A022";"Arro";"1";"79";"20";"41";"4";"6605";"240";"9,00";"12,00";"6605,0";"330,2";"0,20";"5,00"
"2A024";"Aullène";"3";"236";"259";"413";"83";"22174";"1018";"3,33";"6,00";"7391,3";"85,6";"0,52";"3,12"
"2A026";"Azilone-Ampaza";"7";"621";"400";"297";"105";"42553";"2144";"2,71";"5,43";"6079,0";"106,4";"0,39";"3,81"
"2A027";"Azzana";"4";"149";"111";"526";"20";"13246";"938";"3,75";"7,00";"3311,5";"119,3";"0,43";"5,55"
"2A028";"Balogna";"5";"314";"261";"510";"50";"32449";"1915";"3,80";"7,80";"6489,8";"124,3";"0,45";"5,22"
"2A031";"Bastelica";"19";"1350";"963";"2032";"174";"122858";"6424";"4,05";"6,21";"6466,2";"127,6";"0,42";"5,53"
"2A032";"Bastelicaccia";"170";"9246";"12778";"23073";"2850";"1642047";"55128";"2,72";"4,44";"9659,1";"128,5";"0,58";"4,48"
"2A035";"Belvédère-Campomoro";"75";"3398";"4962";"11914";"1027";"1078262";"25937";"3,28";"5,52";"14376,8";"217,3";"0,59";"4,83"
"2A038";"Bilia";"11";"647";"858";"1570";"193";"93801";"4347";"3,45";"5,55";"8527,4";"109,3";"0,57";"4,45"
"2A040";"Bocognano";"11";"764";"761";"1245";"195";"84041";"3945";"3,18";"5,27";"7640,1";"110,4";"0,50";"3,90"
"2A041";"Bonifacio";"691";"36091";"65132";"93234";"15796";"15210127";"315307";"3,20";"5,12";"22011,8";"233,5";"0,64";"4,12"
"2A048";"Calcatoggio";"230";"10697";"15794";"32538";"3161";"3105097";"78761";"2,93";"5,07";"13500,4";"196,6";"0,60";"5,00"
"2A056";"Campo";"5";"201";"350";"393";"72";"25933";"1132";"2,20";"2,80";"5186,6";"74,1";"0,64";"4,86"
"2A060";"Cannelle";"1";"164";"28";"30";"15";"5911";"168";"4,00";"6,00";"5911,0";"211,1";"0,15";"1,87"
"2A061";"Carbini";"4";"95";"156";"603";"36";"16613";"849";"3,25";"4,75";"4153,2";"106,5";"0,62";"4,33"
"2A062";"Carbuccia";"20";"773";"1461";"2334";"493";"132172";"8302";"3,05";"5,10";"6608,6";"90,5";"0,65";"2,96"
"2A065";"Cargèse";"354";"22721";"29935";"44081";"7155";"5420350";"157954";"3,13";"5,19";"15311,7";"181,1";"0,57";"4,18"
"2A066";"Cargiaca";"1";"96";"144";"55";"37";"8282";"288";"2,00";"2,00";"8282,0";"57,5";"0,60";"3,89"
